shostakovich	músico
aduana	autoridad
ingeniero civil	ingeniero
guardameta	competidor
dólar	pisto
basura	compuesto
samba	baile de salón
praga	metrópolis
dólar	metálico
mnemósine	antropomorfismo
virus informático	programa de ordenador
chaparrón	fluido
catalepsia	hipersomnio
linchamiento	pena de muerte
globo aerostático	medio de transporte
floresta	hierro
icosaedro	politopo convexo
explorador	código informático
perjurio	ofensa
spirit airlines	línea aérea
reembolso	compensación financiera
texas	película
brandy	transmisión
lluvia	precipitación
corbata de bolo	corbata
basilisco	reptil
cooperativa	asociación voluntaria
explorador	aplicación informática
mikhail gorbachev	estadista
guionista	escritor
metotrexato	antimetabolito
sátrapa	honorífico
valija	bagaje
ellington	entidad territorial
dique	mineral
brisa	clima
grafito	árido
vademécum	texto fuente
neblina	condensación
desierto de gobi	superficie
camisa	indumento
conmemoración	evento social
mojón	estructura arquitectónica
arlequín	representación
teatro apollo	music hall
cricket	competencia
maestro de baile	profesor
trolebús	pullman
chaleco antibalas	ropa
fibrilación	contracción muscular
adam smith	docto
biarritz	comunidad
cañón	torrente
media aritmética	estadística
gúgol	cantidad definida
torniquete	cataplasma
batman	zona metropolitana
folclore	tradicional
placa	plancha
abadía	lugar de culto
alambique	vaso
cuento	género literario
neocolonialismo	colonialismo
polaris	álbum de estudio
schiaparelli	accidente geográfico
temporal	viento
parlamento	conversación
dólar	título de crédito
atraco	hurto
cabecera	metadatos
dorso	cara
endrina	prunus
locomotora	máquina
calle sin salida	pasaje
madera de pino	planta leñosa
tewkesbury	combate
winston churchill	jefe de gobierno
bray	escuela
pretor	experto legal
cerilla	fosforera
casco	arma
linchamiento	sentencia judicial
caja fuerte	caja
vagón de cola	transporte de pasajeros
tienda de campaña	amparo
zeeman	accidente geográfico
kruschev	jefe de gobierno
tiramisú	coca
protector de pantalla	software
coronel	fuerza aérea
epigrafía	paleografía
ácido	principio activo
erlang	lenguaje
úlcera duodenal	ulceración
óscar arias sánchez	político
sentido del oído	estímulo
astigmatismo	minusvalía
dólar	unidad de cuenta
ágata	mineral
rasta	adepta
capilla	servicio
vanguardismo	género musical
bolivia	municipio
coche	vagón
escudo	blindaje
axila	cavidad
bray	persona
lactasa	polímero
sociolingüística	filología
mezquita	planta vascular
hank williams	cantor
judas iscariote	sacerdote
centeno	cereal
cielo	persona enamorada
kublai kan	honorífico
puente	placa dental
ojal	cavidad
sílex	roca
robo	injusticia
microondas	radioactividad
adam smith	persona
barco negrero	buque
dotación	pago
protocolo	fundamento
tontina	seguro
cannabis	substancia
cinturón	moño
inocencio iv	católico
demanda	trámite legal
aaron burr	dirigente
foulard	vestimenta
cabecera	tablero
arlequín	vestido
zampoña	instrumento musical
energía	variable
banderola	emblema
levadura química	agente leudante
sol de mayo	área metropolitana
bruma	suspensión
habanera	baile social
cobre	elemento químico
leonor de aquitania	título nobiliario
asíndeton	figura retórica
tormenta	fenómeno
walcheren	accidente geográfico
fragata	transporte naval
puerto rico	municipio
james madison	sargento
vehículo	canal de comunicación
quitanieves	máquina
puerto rico	juego de tablero
fluorita	mineral
ovejero	obrero
placa	circuito electrónico
forja	manufacturación
yeso	apósito
escudo	divisa
stanley kubrick	escritor
villa	edificio
capilla	templo
pontífice	capellán
enna	municipio
musical	representación
himno	pieza
monte vesubio	volcán durmiente
pontífice	persona
barco pesquero	bajel
villa	administración pública
taco	bocado
stenocarpus	angiosperma
panel solar	planta eléctrica
llovizna	agua de lluvia
río hudson	cuerpo de agua
floresta	bioma
yeso	liga
cordell hull	abogado
caldera	cazuela
puffinus	vertebrado
coche	transporte de pasajeros
amatista	mineral
tiramisú	pastel
cannabis	narcótico
turbión	fenómeno
escatología	teología
lüleburgaz	aglomeración urbana
templario	orden militar
cenote	suburbio
chubasco	agua
tiramisú	pasta
pierre-joseph proudhon	docto
valla	barrera
zanja	arroyo
centésimo	cantidad definida
vehículo blindado	medio
teniente primero	oficial comisionado
oreja	biología estructural
vicepresidente	político
república federal	confederación
béisbol	evento social
buque	transporte
té	bebida
babilonia	gobernación
arthur wellesley	jefe
leva	mecánico
alioli	condimento
canoa	transporte fluvial
toki	programa de computación
intranet	red de computadoras
óscar arias sánchez	autoridad
manopla	indumentaria
alicante	comunidad
coruscant	planeta ficticio
frisón	lengua
cenote	accidente geográfico
macbeth	banda de música
pavimento	mano
mansión	edificación
trompetista	instrumentalista
polvo blanco	heroína
mazorca	centro
jardín	corral
ellington	título corporativo
culebra de collar	sierpe
arabia saudita	monarquía
vehículo blindado	vehículo
novelista	autor
rosa parks	persona
donna summer	persona
robo	delincuente
buque de guerra	transporte fluvial
yelmo	sombrero
júpiter	gobernador
isla esmeralda	isla
buque de guerra	transporte de pasajeros
óscar arias sánchez	jefe
oreja	morfología
vals	espectáculo
fabulista	autor
compensación	pago
ágata	joya
glucosa	hexosa
panadero	electrodoméstico
félix calleja	político
farol	peligro
tamarao	artiodáctilo
esclusa	camino
largometraje	show
chartreuse	piedra
himno	canción religiosa
cortijo	punto de encuentro
pepinillo	especia
alioli	aliño
polaris	estrella variable
kerch	zona metropolitana
vial	calle
pentosa	carbohidrato
varilla	barra
valle	hábitat
sake	filosofía del lenguaje
pezuña hendida	pata
póker	juego de mesa
grafito	mineral
jardín infantil	jardín de infancia
lázaro salazar	atleta
lucio cornelio sila	oficial militar
maleta	recipiente
gacha	fruta
traqueotomía	operación
wakanda	hábitat
semáforo	señal
nuez moscada	semilla
cañón	proyectil
contusión	patología
barco pesquero	transporte fluvial
karaoke	música vocal
biarritz	área urbana
monte rainier	pico
culata	lámina
fluorita	compuesto químico
plata	metal
tierra	planeta telúrico
alucinógeno	droga
camiseta	ropa
trinitaria	enredadera
farol	mentira
enna	población urbana
conmemoración	acto social
plato	plancha
shostakovich	compositor
sake	trago
vial	camino
kruschev	estadista
let it be	sencillo
tabaco	hierba
vicepresidente	autoridad
liberalización	minoración
zueco	calzado
varilla	indicador
callejón	calle
ovejero	operaria
cobre	centavo
cuento	mentira
mozart	idioma artificial
james madison	autoridad
luis xiv	gobernador
topacio	marrón
béisbol	juego deportivo
parlamento	discusión
tiza	sal química
batman	entidad territorial
tafetán	textil
crédito fiscal	abatimiento
land rover	industria automotriz
pena	condena
bordillo	superficie
turbión	líquido
soubise	comuna
hipoclorito de sodio	antimicrobiano
naranjito	urbe
piloto	episodio
pelota	tramposo
contusión	síntoma
renacimiento de harlem	edad
asentamiento	suburbio
termistor	rtd
amatista	azul
jack el destripador	delincuente
cebú	zona metropolitana
caldera	vasija
pontífice	pastor
disolvente	substancia
macbeth	rey
institutor	maestro
acta notarial	juramento
bolsillo	parte corporal
frisón	germánico
sacerdote	presbítero
puerto rico	isla
vicepresidente	jefe
los andes	aglomeración urbana
spirit airlines	empresa de transportes
basilisco	animal
hospital	edificio
buque	transporte fluvial
cobre	metal
cañón	valle
trolebús	autobús
omar khayyam	persona
arlequín	ropa
batman	aglomeración urbana
acoso	agresión
soldador	persona
jade	compuesto
matemáticas	contenido mental
naranjo	spermatophyta
peón	soldado
naranjito	escena
william ewart gladstone	autoridad
adam smith	indagatoria
bray	área metropolitana
hornsby	zona residencial
libra esterlina	unidad monetaria
kiwi	remoquete
teherán	metrópolis
río hudson	arroyo
capilla	ceremonia religiosa
yahoo	aplicación
fluorita	fluoruro de calcio
campesino	peón
korean air	vía aérea
centeno	licor
ion iliescu	persona
vehículo	traslado
guardería	institución educacional
los andes	entidad territorial
inocencio iv	clérigo
cancha de fútbol	vecindad
bray	compositor
temporal	agitación
llovizna	compuesto
traje	prenda de vestir
catedral	edificación
tragicomedia	comedia
guijarro	clástico
sakura	tracheobionta
cinturón	choque
torniquete	reja de protección
judas iscariote	cristiano
vals	baile
fantoche	tiempo
beatriz de suabia	gobernador
mojón	representación
gabán	capa
tobin	entidad territorial
pelota	seguidor
torniquete	obstáculo
jade	árido
fragata	embarcación a vela
jane doe	espectáculo
jet	nave
puente	estructura arquitectónica
pancarta	ilustración
alcohol	compuesto
tabernero	empleado
zanja	extensión de agua
protozoo	protoctista
lacayo	peón
catalepsia	enfermedad
pena	melancolía
stanford	potentado
mistral	bóreas
kublai khan	rey
carreteo	transporte terrestre
arabia saudita	autarquía
perjurio	acción voluntaria
guionista	autora
radioisótopo	nucleido
sakura	frutal
lingüística	método
adam smith	variable
cesta	embalaje
sol de mayo	metrópoli
chaparrón	h2o
tokio	magnitud física
lascivia	gana
cruasán	pan
neófito	alumno
adam smith	inquisición
lana	fibra natural
campesino	persona
xenofobia	espanto
fotón	radiación
pera	planta vascular
inocencio iv	pastor
jardín	patio
gacha	plato
vivienda	edificio
halcón peregrino	ave
babilonia	metrópoli
deshielo	clima
granja	estructura arquitectónica
jade	cristal
coche	medio de transporte
monumento	estructura arquitectónica
lazo	variedad topológica
vaquilla	rumiante
jailbreak	composición musical
acondroplasia	afección
stanford	comunidad
casa solariega	estructura arquitectónica
cricket	contienda
maracay	metrópoli
grafito	carbón
confiscación	ley de procedimientos
demanda	denuncia
techo	superficie
carro	vehículo ferroviario
himno	música cristiana
catálogo	libro
cantón	cuartel
abadía	monasterio
etología	asignatura
leonor de aquitania	autoridad
vicepresidente	administradora
sefardí	lengua románica
geometría diferencial	contenido mental
catálogo	transmisión
reembolso	desembolso
nuez moscada	legumbre
piel de nutria	pellejo
arena	suciedad
catalepsia	desorden
asíndeton	recurso
vinagrera	producto agrícola
sake	bebida
mantequilla de maní	emulsión
lengüeta	instrumento de viento-madera
game of thrones	serie
villa	autoridad
fotón	partícula portadora
cabecera	lámina
sangre	fluido corporal
paul simon	compositor
cabecera	mueble
daniel webster	persona
cinturón	lazo
grevillea	arbusto
abrigo	vestimenta
escudo	unidad militar
trampa	estrategia
globo aerostático	nave
patrullero	apoderado
pera	árbol frutal
chambas	ciudad
canto rodado	roca
adam smith	competidor
eurotúnel	calle
cereal	producto alimenticio
diarrea	enfermedad
daiquiri	bebida alcohólica
lira maltesa	moneda
telescopio	amplificador
the offspring	equipo
rosa parks	reformista
canoa	bote
oliver hazard perry	oficial comisionado
cimetidina	medicamento
teherán	aglomeración urbana
escudo	moneda
isaac asimov	académico
rancho	hábitat
polvorín	cuba
hockey	juego de pelota
ansiedad	inclinación
teherán	urbe
café	restaurante
fango	mezcla
jack el destripador	malhechor
marfil	albor
júpiter	honorífico
música disco	música popular
alucinógeno	principio activo
asentamiento	asociación
bardos	comunidad
cuartel	instalación
doctrina	docencia
triticum	fruto
rastrillo	escoba
lechuga	planta anual
habsburg	pueblo
vaquilla	ganado
media aritmética	media
pontífice	obispo
mortero	arma de fuego
mezquita	estructura arquitectónica
pretor	juez
rondó	género musical
bolivia	vecindad
estatorreactor	motor de reacción
vial	infraestructura
carestía	pobreza
abarth	industria automovilística
rudimento	embrión
cruce	confluencia
naranjito	suburbio
cumbre	reunión
webcam	cámara digital
paseo	vía expresa
erinias	animal legendario
barco negrero	nave
sesto	comuna
canal de panamá	canal de riego
naranjito	vecindad
carro	vagón
garfield	estación
diodo	semiconductor
lacayo	sirviente
granja	edificación
carestía	magnitud
chelín	dinero
disolvente	medio
bernhard riemann	matemático
cyberpunk	ingeniera
madera de pino	conífera
energía solar	magnitud
galatasaray	escuadra
pera	planta perenne
chaparrón	tormenta
pavimento	cobertura
luis xiv	rey de francia
azerí	túrquico
ácido	psicotrópico
garfield	villa
tabaco	planta
ágata	gema
cooperativa	liga
nazismo	socialismo
miocarditis	síntoma
sílex	óxido
panel solar	estación generadora
golfo de méxico	extensión de agua
cabeza de turco	víctima
cosecante	función matemática
tragicomedia	género cinematográfico
barco negrero	transporte naval
mojón	señalización
vademécum	obra de referencia
úlcera duodenal	forro
afonía	condición
vendedor	mercader
patrón	dirigente
sida	patología
as de diamantes	naipe
fotógrafo	persona
úlcera duodenal	mucosa
daiquiri	coctel
licenciatura	calificación profesional
vanguardismo	movimiento
fc barcelona	liga
globo aerostático	vehículo
coronel	rango
cantinero	trabajador
vinagrera	herbácea
molibdeno	metal de transición
daiquiri	cóctel
sánscrito	serie
omen	obra musical
pera	barba cerrada
go fish	filme
pasífae	satélite natural
círculo cromático	círculo
aposento	zona
golfo de méxico	isla
tacógrafo	máquina
úlcera duodenal	afección
arenque	marisco
beatriz de suabia	mandatario
teodosio i	monarca
azerí	turki
termistor	termómetro
demanda	imputación
escarpadura	cuesta
estatorreactor	turbina
taco	zafiedad
flapper	mujercita
nevasca	temporal
río elba	masa de agua
buque de guerra	medio
embarcación	transporte de pasajeros
carretera	infraestructura urbana
confiscación	auto judicial
adivino	intelectual
giovanni boccaccio	escritor
circón	mineral
cutis	tejido conjuntivo
cuartel	vivienda
microondas	emisión
turbión	compuesto
bolivia	comunidad
musical	película
mano de obra	trabajador
orfebre	persona
cádiz	entidad territorial
zaldívar	villa
pepinillo	spermatophyta
chaleco antibalas	prenda
zanja	masa de agua
go fish	película
vehículo	medio de comunicación
plexiglás	polimetilmetacrilato
campesino	trabajador
fibrilación	dolencia
cortijo	edificio
energía	fenómeno
kiwi	fruta
diarrea	morbilidad
anticongelante	sustancia química
llovizna	tiempo atmosférico
pera	spermatophyta
pasífae	cuerpo celeste
homicidio	delito
cabra	rumiante
tigrillo	animal
dolina	vecindad
estrecho	masa de agua
omar khayyam	físico
calle sin salida	infraestructura urbana
amatista	roja
cañón	arma de fuego
tokio	centro urbano
toki	juego de ordenador
rudimento	fundamento
alambre de púas	hilo
barco negrero	transporte fluvial
bancarrota	debido proceso
toki	videojuego de disparos
mandarina	planta
rupia	unidad monetaria
alicante	área metropolitana
estatorreactor	sistema termodinámico
café	trago
naufragio	percance
canto rodado	clástico
ellington	producción audiovisual
pulgar	apéndice
paso de cebra	desvío
villa	entidad territorial
institutor	persona
rotación	transformación
fc barcelona	once
proteólisis	catabolismo
cañón	depresión
aleksandr pushkin	autor
madera de pino	pinidae
piloto	trabajo
tokio	ciudad
pentosa	glúcido
teatro apollo	estructura arquitectónica
torgau	ciudad
dólar	unidad monetaria
bacanal	fiesta
contusión	signo clínico
pocilga	edificio
tubo de escape	tubo
lacayo	operario
tráfico	venta
camiseta	vestido
microondas	liberación
erlang	lenguaje formal
reembolso	compensación
morfeo	persona
microondas	onda electromagnética
histerectomía	cirugía
alicia silverstone	persona
carlos de valois	gobernante
papel secante	papel
ellington	comunidad
grafito	roca sedimentaria
dado	bloque
lagoa	área urbana
cuento	relato
instituto	institución educacional
tiramisú	repostería
torre de pisa	edificio
chaparrón	agua pluvial
curling	contienda
quitanieves	transporte
sakura	árbol frutal
cabeza de turco	engañado
robo	bandolerismo
lusaka	capital
lynch mob	equipo
naranjito	pueblo
cuartel	servicio
casco	armadura
villanueva de gumiel	pueblo
buque de guerra	vehículo
stanford	emprendedor
apóstrofo	puntuación
tokio	área metropolitana
escarpe	formación geológica
área cultural	vecindad
bruno walter	músico
vino	fluido
cinturón	prenda
hezbolá	organización política
winston churchill	intelectual
vinagrera	botella
cul-de-sac	infraestructura
webcam	cámara de vídeo
tobin	persona
aristocracia	estrato social
molinete	barrera
grafito	compuesto
cuento	mentirijilla
penique	efectivo
boom box	obra musical
dírham	divisa
júpiter	gigante gaseoso
villa	escena
aduana	gabela
elizabeth taylor	comediante
flamen	clérigo
kazajstán	entidad territorial
cinturón	cadena
valle	depresión
rheinmetall	corporación
perjurio	violación
sida	afección
caja registradora	caja fuerte
campesino	operaria
cinturón	accesorio
nazismo	fascismo
amatista	color primario
profesor	docente
trisquel	representación
dólar	efectivo
eca	biomolécula
hezbolá	acción social
cáñamo	narcótico
casero	dueño
naranjito	metrópolis
juana grey	reina de inglaterra
judas iscariote	adepto
bray	centro urbano
dinero fiduciario	papel moneda
deflagración	oxidación
nimbo	claridad
inocencio iv	papa
circulante	activo
pena	debido proceso
liposucción	cirugía plástica
lactasa	sustancia química
farol	engaño
escudo	arma
aduana	carga
desierto	medio ambiente
empaque	introducción
úlcera duodenal	condición psicológica
madera de pino	planta
ponce de león	área metropolitana
rondó	música clásica
biosíntesis	síntesis química
daiquiri	líquido
neurofisiología	neurociencia
